"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"특별법범",산지관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",상표법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",선박안전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",선박직원법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",성매매알선등행위의처벌에관한법률,소계,21,12,2,3,4,2,1,-,-,9,1,2,-,-,2,3,1
"특별법범",수산업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",수산자원관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",식품위생법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,109,47,7,7,13,8,9,-,3,62,8,14,1,26,8,4,1
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,72,38,3,9,10,10,5,1,-,34,6,5,5,10,4,3,1
"특별법범",아동복지법,소계,17,8,-,1,2,3,1,-,1,9,1,3,1,2,1,1,-
"특별법범",여객자동차운수사업법,소계,4,1,-,-,-,-,1,-,-,3,-,-,-,2,1,-,-
"특별법범",여신전문금융업법,소계,43,23,9,4,3,5,1,1,-,20,5,4,2,5,2,2,-
"특별법범",예비군법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",외국환거래법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",의료법,소계,2,1,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-
"특별법범",자동차관리법,소계,221,87,6,17,12,26,18,6,2,134,8,7,16,50,31,15,7
"특별법범",자동차손해배상보장법,소계,241,108,8,19,17,34,9,12,9,133,15,20,10,54,19,11,4
"특별법범",저작권법,소계,5,3,2,1,-,-,-,-,-,2,2,-,-,-,-,-,-
"특별법범",전자금융거래법,소계,36,11,1,1,4,3,2,-,-,25,2,6,1,9,6,1,-
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,100,37,5,7,7,10,5,3,-,63,9,7,8,24,8,3,4
"특별법범",조세범처벌법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",주민등록법,소계,398,186,16,33,21,61,26,25,4,212,19,31,22,66,41,25,8
"특별법범",청소년보호법,소계,152,68,4,7,11,27,9,9,1,84,2,7,7,33,14,17,4
"특별법범",축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",출입국관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",통신비밀보호법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",특가법(도주차량),소계,120,43,8,6,5,14,7,3,-,77,17,9,9,22,14,4,2
"특별법범",폐기물관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",풍속영업의규제에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",화물자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",기타특별법,소계,139,58,7,10,8,12,11,8,2,81,8,12,4,37,10,6,4
